Country,Province,Confirmed,Deaths,Cast_Fatality_Ratio
US,Nebraska,6950,50,0.7194244604316546
US,Nebraska,1687,28,1.6597510373443984
US,Nebraska,875,9,1.0285714285714285
US,Nebraska,613,14,2.2838499184339316
US,Nebraska,2272,29,1.2764084507042253
US,Nebraska,1663,32,1.9242333132892364
US,Nebraska,2880,31,1.0763888888888888
US,Nebraska,1974,22,1.1144883485309016
US,Nebraska,2231,38,1.703272075302555
US,Nebraska,7622,86,1.1283127787982157
US,Nebraska,1483,24,1.6183412002697235
US,Nebraska,5692,87,1.528460997891778
US,Nebraska,342,4,1.1695906432748537
US,Nebraska,1348,17,1.261127596439169
US,Nebraska,11305,140,1.238390092879257
US,Nebraska,170594,1215,0.7122173112770672
US,Nebraska,367,6,1.6348773841961852
US,Nebraska,1260,19,1.507936507936508
US,Nebraska,477,14,2.9350104821802936
US,Nebraska,601,3,0.49916805324459235
US,Nebraska,1243,17,1.3676588897827835
US,Nebraska,4241,55,1.2968639471822683
US,Nebraska,452,4,0.8849557522123894
US,Nebraska,465,10,2.150537634408602
US,Nebraska,419,9,2.1479713603818618
US,Nebraska,107,6,5.607476635514018
US,Nebraska,451,6,1.3303769401330376
US,Nebraska,18278,176,0.9629062260641208
US,Nebraska,2618,26,0.9931245225362872
US,Nebraska,383,7,1.8276762402088773
US,Nebraska,106,0,0.0
US,Nebraska,595,10,1.680672268907563
US,Nebraska,2455,23,0.9368635437881874
US,Nebraska,124,5,4.032258064516129
US,Nebraska,1285,25,1.9455252918287937
US,Nebraska,1398,13,0.9298998569384835
US,Nebraska,908,15,1.6519823788546255
US,Nebraska,1337,13,0.9723261032161555
US,Nebraska,1739,30,1.7251293847038527
US,Nebraska,130,0,0.0
US,Nebraska,806,16,1.9851116625310175
US,Nebraska,1879,19,1.0111761575306013
US,Nebraska,90406,461,0.5099219078379753
US,Nebraska,10097,140,1.3865504605328316
US,Nebraska,158,0,0.0
US,Nebraska,92,0,0.0
US,Nebraska,10810,79,0.730804810360777
US,Nebraska,74,1,1.3513513513513513
US,Nebraska,1933,25,1.2933264355923435
US,Nebraska,1289,35,2.7152831652443754
US,Nebraska,849,17,2.0023557126030624
US,Nebraska,1513,27,1.7845340383344348
US,Nebraska,1073,19,1.7707362534948743
US,Nebraska,3730,25,0.6702412868632708
US,Nebraska,491,8,1.629327902240326
US,Nebraska,562,13,2.3131672597864767
US,Nebraska,2643,26,0.9837306091562619
US,Nebraska,1431,26,1.816911250873515
US,Nebraska,9764,84,0.8603031544448996
US,Nebraska,1291,26,2.0139426800929514
US,Nebraska,2538,23,0.9062253743104807
US,Nebraska,2089,31,1.4839636189564385
US,Nebraska,189,3,1.5873015873015872
US,Nebraska,4211,18,0.42745191165993823
US,Nebraska,56329,317,0.5627651831205951
US,Nebraska,5450,53,0.9724770642201835
US,Nebraska,10718,151,1.4088449337562978
US,Nebraska,3642,50,1.372872048325096
US,Nebraska,1083,39,3.601108033240997
US,Nebraska,665,9,1.3533834586466165
US,Nebraska,81,1,1.2345679012345678
US,Nebraska,714,13,1.8207282913165266
US,Nebraska,1242,13,1.0466988727858293
US,Nebraska,110,1,0.9090909090909091
US,Nebraska,2019,33,1.6344725111441307
US,Nebraska,1996,16,0.8016032064128257
US,Nebraska,838,11,1.3126491646778042
US,Nebraska,5210,49,0.9404990403071017
US,Nebraska,2054,17,0.8276533592989289
US,Nebraska,767,14,1.8252933507170794
US,Nebraska,134,2,1.492537313432836
US,Nebraska,4519,32,0.7081212657667626
US,Nevada,16859,228,1.3523933803902959
US,Nevada,7436,119,1.600322754168908
US,Nevada,650271,9080,1.3963409101743736
US,Nevada,8553,96,1.122413188354963
US,Nevada,12760,149,1.1677115987460815
US,Nevada,123,5,4.065040650406504
US,Nevada,181,2,1.1049723756906078
US,Nevada,2738,65,2.3739956172388603
US,Nevada,1314,21,1.5981735159817352
US,Nevada,646,10,1.5479876160990713
US,Nevada,11820,183,1.5482233502538072
US,Nevada,1435,19,1.32404181184669
US,Nevada,8911,299,3.3554034339580294
US,Nevada,2312,32,1.3840830449826989
US,Nevada,180,14,7.777777777777778
US,Nevada,10150,0,0.0
US,Nevada,124310,1279,1.0288794143673075
US,Nevada,1747,23,1.316542644533486
US,New Hampshire,16577,199,1.2004584665500393
US,New Hampshire,11744,70,0.5960490463215259
US,New Hampshire,18188,129,0.7092588519903232
US,New Hampshire,8087,129,1.595152714232719
US,New Hampshire,22297,86,0.3857021123918016
US,New Hampshire,115767,990,0.8551659799424707
US,New Hampshire,38351,275,0.7170608328335637
US,New Hampshire,80630,610,0.7565422299392286
US,New Hampshire,35412,235,0.6636168530441658
US,New Hampshire,11343,78,0.6876487701666226
US,New Hampshire,2087,5,0.23957834211787254
US,New Jersey,85346,1056,1.2373163358563963
US,New Jersey,300695,3608,1.1998869286153744
US,New Jersey,131922,1322,1.0021073058322343
US,New Jersey,158308,1920,1.212825631048336
US,New Jersey,28114,329,1.1702354698726614
US,New Jersey,48804,649,1.3298090320465537
US,New Jersey,272643,3694,1.3548853262324725
US,New Jersey,86149,1016,1.1793520528386865
US,New Jersey,222110,2806,1.2633379856827698
US,New Jersey,32275,294,0.9109217660728117
US,New Jersey,102830,1312,1.2758922493435767
US,New Jersey,256160,2956,1.1539662710805747
US,New Jersey,208489,2308,1.1070128400059476
US,New Jersey,154885,1640,1.0588501146011557
US,New Jersey,201316,3177,1.5781159967414413
US,New Jersey,179459,2416,1.3462685070127438
US,New Jersey,17392,259,1.4891904323827048
US,New Jersey,90987,1006,1.1056524558453404
US,New Jersey,42707,508,1.1895005502610814
US,New Jersey,1690,0,0.0
US,New Jersey,183272,2447,1.3351739491029726
US,New Jersey,29996,356,1.1868249099879984
US,New Mexico,189146,2140,1.1314011398602137
US,New Mexico,500,22,4.4
US,New Mexico,23967,357,1.4895481286769308
US,New Mexico,8866,207,2.334762012181367
US,New Mexico,2730,68,2.490842490842491
US,New Mexico,14706,231,1.5707874337005303
US,New Mexico,711,6,0.8438818565400844
US,New Mexico,73309,914,1.2467773397536455
US,New Mexico,18762,322,1.7162349429698327
US,New Mexico,9244,107,1.1575075724794461
US,New Mexico,1288,18,1.3975155279503106
US,New Mexico,100,4,4.0
US,New Mexico,1278,16,1.2519561815336464
US,New Mexico,21795,406,1.8628125716907549
US,New Mexico,6303,70,1.1105822624147232
US,New Mexico,4440,22,0.4954954954954955
US,New Mexico,7759,147,1.8945740430467843
US,New Mexico,31551,637,2.018953440461475
US,New Mexico,967,20,2.0682523267838677
US,New Mexico,16187,217,1.340581948477173
US,New Mexico,2431,69,2.8383381324557795
US,New Mexico,12859,158,1.2287114083521269
US,New Mexico,5895,109,1.8490245971162003
